X1,X2,X3,y
48,62,72,7920
77,6,73,6059
79,31,78,8580
29,39,16,1088
71,7,2,156
32,31,91,5733
0,94,34,3196
54,0,33,1782
12,34,41,1886
61,81,8,1136
25,75,84,8400
58,46,98,10192
24,90,22,2508
48,87,21,2835
86,11,76,7372
73,54,29,3683
78,51,58,7482
37,19,65,3640
42,73,87,10005
33,53,53,4558
88,27,58,6670
51,71,63,7686
21,56,16,1232
58,63,90,10890
26,23,49,2401
36,58,70,6580
76,44,5,600
56,24,12,960
65,23,94,8272
49,7,21,1176
17,99,80,9280
92,29,78,9438
0,38,34,1292
19,8,18,486
28,52,74,5920
27,28,85,4675
85,10,50,4750
44,61,76,7980
94,39,53,7049
10,22,57,1824
24,37,8,488
98,61,70,11130
42,85,13,1651
19,48,20,1340
43,89,75,9900
94,79,70,12110
44,75,1,119
44,58,82,8364
76,72,15,2220
56,0,9,504
18,58,58,4408
99,1,64,6400
78,71,41,6109
47,7,19,1026
28,28,63,3528
3,19,59,1298
73,4,20,1540
32,74,92,9752
90,44,53,7102
25,63,49,4312
20,68,88,7744
48,68,44,5104
74,5,75,5925
58,32,43,3870
71,76,86,12642
81,75,97,15132
74,61,70,9450
77,97,15,2610
64,20,61,5124
81,33,48,5472
72,42,83,9462
23,28,30,1530
19,39,53,3074
53,98,46,6946
72,64,87,11832
31,77,71,7668
65,28,30,2790
92,86,48,8544
86,59,61,8845
90,58,67,9916
57,25,68,5576
63,22,39,3315
84,59,75,10725
35,84,78,9282
40,46,67,5762
85,85,66,11220
59,51,92,10120
14,39,40,2120
70,65,55,7425
48,52,47,4700
55,16,42,2982
31,83,95,10830
22,1,44,1012
77,75,30,4560
61,57,60,7080
50,87,39,5343
73,59,80,10560
98,44,61,8662
91,30,85,10285
12,90,18,1836
71,13,94,7896
53,81,46,6164
34,1,16,560
42,1,49,2107
20,2,11,242
12,2,94,1316
46,66,72,8064
4,58,87,5394
0,80,82,6560
67,63,40,5200
61,26,49,4263
22,77,76,7524
37,43,9,720
50,54,63,6552
39,35,54,3996
88,37,54,6750
94,76,69,11730
3,12,32,480
67,59,16,2016
96,77,75,12975
45,42,45,3915
39,78,34,3978
14,21,20,700
87,70,85,13345
36,51,25,2175
41,39,28,2240
47,29,1,76
75,1,69,5244
26,14,99,3960
99,85,91,16744
72,81,56,8568
36,13,55,2695
19,3,28,616
77,48,52,6500
91,46,4,548
22,26,18,864
35,18,21,1113
69,36,40,4200
29,80,24,2616
28,98,61,7686
90,29,36,4284
27,10,8,296
1,90,57,5187
50,74,97,12028
32,81,33,3729
64,41,63,6615
81,92,24,4152
18,75,80,7440
55,13,44,2992
45,20,48,3120
89,90,15,2685
4,75,60,4740
84,90,82,14268
99,23,12,1464
79,59,31,4278
58,51,79,8611
22,35,19,1083
75,70,80,11600
84,35,50,5950
53,88,73,10293
73,64,0,0
21,35,19,1064
97,46,43,6149
78,19,43,4171
53,3,87,4872
59,93,46,6992
79,59,61,8418
77,38,16,1840
77,97,37,6438
20,35,17,935
38,72,73,8030
5,74,92,7268
99,67,28,4648
61,31,93,8556
61,80,9,1269
30,5,54,1890
18,95,85,9605
7,57,19,1216
97,73,43,7310
76,26,54,5508
47,73,19,2280
40,60,34,3400
70,99,38,6422
84,11,24,2280
65,16,97,7857
74,54,57,7296
71,29,5,500
41,78,8,952
28,53,78,6318
23,15,6,228
36,61,72,6984
40,98,15,2070
8,74,72,5904
86,27,40,4520
89,91,26,4680
78,55,38,5054
41,59,21,2100
94,95,9,1701
88,51,97,13483
33,71,27,2808
31,15,64,2944
61,41,81,8262
26,94,36,4320
96,2,64,6272
64,40,59,6136
10,55,25,1625
47,24,34,2414
11,98,72,7848
57,40,88,8536
7,93,78,7800
11,25,28,1008
75,54,51,6579
57,43,34,3400
75,8,15,1245
94,19,99,11187
49,62,56,6216
74,95,82,13858
92,63,14,2170
24,7,71,2201
27,62,32,2848
90,70,12,1920
44,59,85,8755
68,36,94,9776
40,70,51,5610
2,1,96,288
13,20,2,66
95,26,20,2420
23,71,78,7332
49,79,37,4736
17,95,64,7168
26,23,43,2107
48,77,98,12250
0,7,21,147
48,48,75,7200
12,38,42,2100
43,1,24,1056
9,78,47,4089
58,90,84,12432
26,64,39,3510
57,90,55,8085
3,88,40,3640
11,10,7,147
43,97,49,6860
8,23,29,899
33,56,68,6052
9,34,92,3956
38,85,59,7257
75,68,43,6149
83,18,13,1313
10,36,47,2162
36,77,44,4972
49,49,72,7056
42,37,66,5214
65,3,80,5440
64,11,67,5025
92,63,46,7130
56,79,94,12690
28,7,42,1470
65,96,26,4186
53,56,96,10464
74,64,65,8970
60,99,38,6042
12,32,22,968
33,84,19,2223
33,80,10,1130
73,47,26,3120
5,69,15,1110
92,37,51,6579
10,23,10,330
56,42,72,7056
83,77,0,0
7,53,75,4500
16,50,68,4488
38,17,7,385
99,78,25,4425
66,95,58,9338
69,6,37,2775
87,86,81,14013
18,61,16,1264
32,40,44,3168
8,10,20,360
35,51,54,4644
38,59,54,5238
52,80,66,8712
73,94,23,3841
2,52,4,216
65,47,73,8176
86,94,59,10620
50,45,52,4940
14,88,49,4998
69,31,73,7300
75,40,56,6440
93,30,94,11562
10,33,43,1849
64,52,69,8004
94,51,67,9715
16,28,35,1540
38,84,22,2684
96,28,33,4092
76,31,6,642
61,98,88,13992
51,17,22,1496
11,79,39,3510
91,68,75,11925
83,59,30,4260
93,85,13,2314
45,10,44,2420
76,20,73,7008
75,88,6,978
25,8,66,2178
86,45,82,10742
47,73,41,4920
1,75,90,6840
45,6,56,2856
18,87,90,9450
77,5,47,3854
25,40,8,520
63,94,1,157
99,75,35,6090
18,50,3,204
27,78,85,8925
53,92,62,8990
27,98,64,8000
19,47,32,2112
26,47,83,6059
31,71,20,2040
39,63,91,9282
59,14,9,657
6,33,76,2964
53,25,97,7566
29,36,33,2145
27,92,51,6069
84,94,85,15130
73,55,82,10496
56,27,38,3154
74,20,77,7238
69,56,22,2750
65,12,54,4158
38,79,22,2574
8,46,81,4374
42,32,85,6290
59,39,49,4802
86,99,54,9990
90,41,43,5633
39,34,53,3869
47,42,51,4539
30,13,27,1161
88,62,28,4200
88,25,44,4972
0,46,17,782
91,2,66,6138
30,8,59,2242
53,22,49,3675
46,20,69,4554
3,72,68,5100
36,60,82,7872
49,11,50,3000
40,94,51,6834
59,69,77,9856
83,1,97,8148
46,96,98,13916
80,59,70,9730
89,69,78,12324
24,76,52,5200
92,20,83,9296
27,69,64,6144
94,5,6,594
83,64,15,2205
46,63,59,6431
23,51,7,518
18,70,15,1320
25,53,80,6240
75,94,10,1690
64,18,29,2378
68,26,74,6956
43,50,70,6510
82,72,22,3388
58,61,87,10353
63,60,29,3567
84,61,64,9280
76,95,88,15048
31,99,10,1300
9,41,30,1500
22,5,74,1998
4,26,58,1740
68,46,35,3990
66,57,63,7749
51,42,26,2418
37,76,58,6554
74,31,17,1785
5,5,81,810
3,28,81,2511
14,54,70,4760
56,37,1,93
84,40,58,7192
67,90,46,7222
19,84,32,3296
11,85,38,3648
22,82,97,10088
48,92,93,13020
94,73,10,1670
56,45,86,8686
21,80,98,9898
50,52,76,7752
66,49,24,2760
11,49,14,840
51,66,4,468
74,88,96,15552
64,22,78,6708
3,12,71,1065
97,62,75,11925
28,71,12,1188
4,70,3,222
57,82,98,13622
19,68,44,3828
91,21,61,6832
14,36,73,3650
53,73,71,8946
61,46,28,2996
22,17,67,2613
26,61,8,696
65,3,49,3332
15,65,51,4080
11,39,24,1200
8,67,58,4350
5,30,98,3430
43,19,98,6076
92,60,62,9424
74,90,80,13120
62,86,64,9472
1,88,27,2403
56,12,37,2516
84,85,31,5239
74,12,10,860
82,60,86,12212
0,72,91,6552
46,80,46,5796
76,57,40,5320
80,27,96,10272
49,77,5,630
47,11,32,1856
86,70,0,0
56,62,97,11446
11,67,93,7254
1,27,38,1064
83,73,21,3276
51,71,88,10736
14,41,50,2750
35,93,87,11136
77,17,5,470
66,74,87,12180
21,73,61,5734
30,16,61,2806
5,41,0,0
19,61,49,3920
94,62,22,3432
72,3,65,4875
82,81,16,2608
85,74,66,10494
17,15,54,1728
59,23,52,4264
32,85,8,936
60,15,88,6600
85,1,73,6278
62,61,70,8610
50,45,60,5700
60,57,54,6318
14,59,67,4891
88,98,89,16554
92,90,67,12194
47,77,22,2728
60,92,62,9424
80,72,92,13984
31,89,94,11280
4,70,76,5624
70,1,74,5254
3,70,50,3650
29,42,4,284
62,37,76,7524
53,7,39,2340
38,96,4,536
94,44,82,11316
40,91,88,11528
39,8,10,470
77,43,82,9840
57,57,36,4104
40,57,1,97
1,0,51,51
12,65,1,77
81,88,2,338
93,53,59,8614
92,64,11,1716
99,4,90,9270
82,20,35,3570
85,64,71,10579
14,38,34,1768
26,9,15,525
82,43,15,1875
24,94,52,6136
21,16,89,3293
30,88,55,6490
99,64,96,15648
80,6,24,2064
40,65,74,7770
71,7,86,6708
0,94,64,6016
59,74,37,4921
49,77,24,3024
78,53,69,9039
14,66,45,3600
23,62,16,1360
12,40,18,936
5,78,69,5727
91,22,46,5198
80,95,18,3150
21,55,11,836
26,75,96,9696
52,38,15,1350
26,50,88,6688
53,1,20,1080
5,59,4,256
6,84,6,540
7,61,13,884
7,60,45,3015
83,60,51,7293
64,35,1,99
9,51,36,2160
52,4,91,5096
5,86,4,364
45,5,68,3400
65,21,54,4644
98,85,2,366
17,88,10,1050
94,66,92,14720
25,62,51,4437
82,13,94,8930
96,81,54,9558
54,74,15,1920
92,52,92,13248
59,58,36,4212
98,49,60,8820
44,19,29,1827
85,22,18,1926
65,46,20,2220
40,42,63,5166
33,82,83,9545
58,23,4,324
4,62,64,4224
45,68,87,9831
16,72,26,2288
25,84,89,9701
80,61,99,13959
51,77,71,9088
94,30,89,11036
53,1,88,4752
89,44,70,9310
12,59,27,1917
37,48,41,3485
66,3,11,759
49,58,49,5243
19,89,0,0
71,72,71,10153
16,71,51,4437
18,78,39,3744
50,92,38,5396
73,19,36,3312
25,11,21,756
66,33,93,9207
41,28,2,138
45,41,45,3870
52,37,12,1068
57,25,93,7626
67,22,54,4806
28,66,98,9212
0,34,5,170
27,84,94,10434
8,49,51,2907
90,91,92,16652
41,74,58,6670
20,82,27,2754
17,55,33,2376
76,42,5,590
75,18,59,5487
24,9,18,594
98,76,37,6438
55,78,30,3990
79,83,49,7938
12,6,83,1494
5,10,73,1095
0,41,19,779
0,35,76,2660
7,17,49,1176
15,89,38,3952
93,43,54,7344
21,52,97,7081
30,12,93,3906
18,9,99,2673
63,0,88,5544
31,38,79,5451
11,32,26,1118
96,18,90,10260
6,82,7,616
21,98,30,3570
32,29,41,2501
15,83,21,2058
63,80,22,3146
17,63,25,2000
89,68,82,12874
31,58,29,2581
16,65,21,1701
71,60,57,7467
3,44,22,1034
94,31,46,5750
99,36,5,675
62,28,95,8550
70,91,45,7245
43,93,61,8296
71,50,28,3388
59,99,33,5214
46,30,60,4560
60,37,41,3977
88,77,14,2310
26,62,12,1056
78,10,79,6952
75,41,42,4872
93,92,18,3330
16,79,54,5130
23,63,73,6278
92,0,2,184
36,19,23,1265
8,17,93,2325
77,73,11,1650
25,1,69,1794
0,15,52,780
0,79,16,1264
49,55,95,9880
21,92,93,10509
91,42,84,11172
59,45,31,3224
41,81,13,1586
55,87,32,4544
74,75,97,14453
41,21,55,3410
46,93,75,10425
15,19,29,986
5,35,74,2960
73,55,92,11776
97,45,11,1562
32,5,35,1295
66,58,2,248
91,59,96,14400
99,8,51,5457
92,84,20,3520
7,3,7,70
53,35,65,5720
61,5,59,3894
97,76,1,173
20,31,58,2958
33,60,18,1674
34,38,2,144
46,72,67,7906
64,73,49,6713
28,85,2,226
11,99,37,4070
49,60,57,6213
38,40,65,5070
35,73,96,10368
19,18,33,1221
42,16,7,406
38,60,44,4312
11,14,5,125
19,36,26,1430
24,59,18,1494
94,15,88,9592
42,73,94,10810
38,57,54,5130
82,70,5,760
38,60,69,6762
27,4,97,3007
3,91,47,4418
36,61,40,3880
64,21,56,4760
83,32,79,9085
99,27,50,6300
94,73,84,14028
17,23,60,2400
73,2,13,975
36,39,12,900
42,94,51,6936
2,65,51,3417
16,59,47,3525
20,12,24,768
95,55,62,9300
59,89,60,8880
43,16,89,5251
27,31,62,3596
3,38,43,1763
44,6,82,4100
40,85,93,11625
25,93,27,3186
65,10,27,2025
91,12,8,824
76,6,63,5166
25,87,18,2016
95,72,76,12692
57,65,56,6832
66,20,20,1720
21,1,11,242
48,47,77,7315
88,84,22,3784
68,70,48,6624
79,0,13,1027
47,22,97,6693
0,24,40,960
51,62,9,1017
94,84,6,1068
94,57,66,9966
29,70,17,1683
22,7,17,493
78,13,78,7098
80,61,14,1974
13,26,30,1170
90,54,3,432
15,43,10,580
46,3,80,3920
52,63,7,805
34,26,21,1260
92,26,55,6490
76,91,24,4008
12,54,25,1650
72,92,31,5084
32,21,31,1643
39,26,55,3575
29,46,7,525
26,4,75,2250
52,41,9,837
47,3,37,1850
20,55,50,3750
85,98,37,6771
77,61,30,4140
34,19,24,1272
26,81,26,2782
19,78,96,9312
43,54,18,1746
24,24,66,3168
2,66,88,5984
74,5,33,2607
99,95,50,9700
56,75,83,10873
56,17,89,6497
86,87,80,13840
37,80,56,6552
83,19,75,7650
15,35,79,3950
73,50,44,5412
86,97,7,1281
2,14,12,192
9,32,63,2583
4,62,78,5148
79,99,77,13706
49,23,87,6264
14,64,42,3276
30,68,28,2744
99,91,3,570
33,82,94,10810
83,45,6,768
39,53,7,644
6,68,63,4662
1,50,90,4590
38,1,67,2613
64,54,81,9558
87,63,80,12000
30,34,0,0
64,47,66,7326
66,69,85,11475
85,65,39,5850
19,86,81,8505
89,77,48,7968
73,80,87,13311
26,79,26,2730
35,3,32,1216
88,39,4,508
90,3,6,558
40,42,92,7544
53,46,93,9207
48,58,94,9964
4,32,86,3096
47,6,95,5035
67,76,37,5291
73,32,98,10290
89,25,6,684
14,41,85,4675
62,65,30,3810
72,97,80,13520
50,66,29,3364
68,41,3,327
13,47,45,2700
83,19,14,1428
41,83,87,10788
12,43,43,2365
1,65,83,5478
93,16,31,3379
3,57,64,3840
37,56,63,5859
94,83,43,7611
95,65,60,9600
74,51,49,6125
75,62,77,10549
86,13,47,4653
92,86,1,178
12,10,22,484
54,32,14,1204
77,59,21,2856
11,84,83,7885
21,99,7,840
5,32,96,3552
92,6,71,6958
92,33,49,6125
93,8,15,1515
94,54,49,7252
6,9,37,555
59,44,84,8652
22,55,10,770
13,68,47,3807
43,71,2,228
57,85,3,426
96,0,4,384
61,61,94,11468
3,60,77,4851
11,18,78,2262
34,66,94,9400
13,66,88,6952
36,27,69,4347
87,65,6,912
14,62,64,4864
41,54,2,190
5,20,73,1825
29,28,73,4161
10,68,83,6474
83,4,18,1566
90,55,31,4495
32,5,76,2812
60,25,66,5610
77,81,15,2370
15,30,39,1755
14,85,47,4653
77,32,3,327
39,3,25,1050
42,33,28,2100
59,54,0,0
78,22,70,7000
24,83,86,9202
38,8,75,3450
73,47,42,5040
60,11,66,4686
12,53,22,1430
23,59,39,3198
64,77,5,705
30,6,98,3528
52,45,24,2328
4,64,91,6188
38,23,19,1159
51,58,27,2943
40,86,36,4536
74,19,8,744
82,11,6,558
43,85,26,3328
42,41,80,6640
28,79,21,2247
73,58,59,7729
41,20,43,2623
88,25,15,1695
66,21,83,7221
87,86,85,14705
67,76,89,12727
28,31,59,3481
93,75,87,14616
3,28,10,310
91,16,58,6206
88,87,32,5600
44,35,35,2765
39,67,59,6254
76,82,89,14062
91,52,25,3575
2,8,57,570
78,30,65,7020
49,20,40,2760
11,96,31,3317
26,22,87,4176
55,37,86,7912
88,43,54,7074
45,89,15,2010
69,22,71,6461
68,15,71,5893
44,11,63,3465
88,28,42,4872
96,14,81,8910
50,43,71,6603
16,13,66,1914
89,20,76,8284
17,78,58,5510
28,2,43,1290
18,62,13,1040
99,63,19,3078
30,4,30,1020
96,33,37,4773
7,29,59,2124
93,28,79,9559
32,96,78,9984
64,24,98,8624
29,22,35,1785
42,29,87,6177
13,35,53,2544
43,89,60,7920
72,36,46,4968
2,19,52,1092
98,17,59,6785
53,17,63,4410
89,20,58,6322
98,66,41,6724
68,41,46,5014
43,31,19,1406
23,65,7,616
23,62,75,6375
50,87,44,6028
14,43,65,3705
48,20,49,3332
78,13,22,2002
92,22,53,6042
10,26,91,3276
91,50,67,9447
67,68,0,0
88,46,80,10720
11,18,89,2581
17,68,33,2805
87,62,67,9983
32,96,4,512
90,97,55,10285
29,10,71,2769
69,40,61,6649
38,21,37,2183
88,90,70,12460
36,6,41,1722
3,4,67,469
70,4,72,5328
71,18,76,6764
28,3,3,93
23,49,57,4104
16,58,30,2220
39,32,86,6106
20,47,54,3618
6,20,80,2080
5,79,54,4536
16,88,43,4472
67,23,35,3150
88,63,30,4530
4,67,3,213
81,38,71,8449
88,17,94,9870
83,16,3,297
89,6,79,7505
72,76,54,7992
31,83,95,10830
24,56,33,2640
51,18,87,6003
84,52,79,10744
88,15,8,824
18,91,95,10355
40,44,44,3696
67,22,37,3293
68,1,79,5451
68,67,57,7695
38,11,18,882
55,4,8,472
80,39,9,1071
73,83,70,10920
10,97,87,9309
78,34,77,8624
15,10,70,1750
83,32,91,10465
74,56,59,7670
39,0,95,3705
18,85,10,1030
74,23,37,3589
45,86,10,1310
54,56,2,220
45,53,34,3332
3,93,79,7584
78,45,41,5043
6,78,73,6132
25,75,67,6700
32,23,80,4400
65,55,13,1560
5,26,50,1550
69,69,41,5658
97,53,28,4200
9,91,26,2600
9,40,35,1715
47,89,52,7072
39,50,83,7387
10,77,4,348
64,6,37,2590
26,89,90,10350
8,74,29,2378
54,20,38,2812
43,50,33,3069
85,34,32,3808
36,46,45,3690
2,2,30,120
5,70,81,6075
79,99,13,2314
98,61,96,15264
6,44,73,3650
37,88,86,10750
33,83,30,3480
62,52,59,6726
74,70,69,9936
97,66,38,6194
20,16,64,2304
16,3,58,1102
15,8,17,391
73,91,28,4592
77,71,4,592
83,70,64,9792
15,4,31,589
10,99,57,6213
26,58,31,2604
52,58,46,5060
94,22,68,7888
99,46,34,4930
36,25,25,1525
82,50,29,3828
35,98,51,6783
82,25,31,3317
32,52,33,2772
90,56,36,5256
61,58,20,2380
67,82,72,10728
77,82,3,477
59,37,42,4032
30,89,15,1785
65,76,80,11280
86,55,13,1833
55,30,40,3400
51,50,63,6363
11,84,62,5890
97,26,0,0
7,16,49,1127
50,69,36,4284
87,33,40,4800
5,53,48,2784
83,54,36,4932
20,5,80,2000
23,60,42,3486
87,71,28,4424
18,89,14,1498
93,25,17,2006
30,79,52,5668
11,52,89,5607
91,37,52,6656
98,3,70,7070
40,17,15,855
35,69,0,0
38,13,91,4641
50,99,79,11771
55,97,5,760
65,33,17,1666
24,25,9,441
73,89,39,6318
98,93,19,3629
49,72,50,6050
71,80,43,6493
33,32,85,5525
82,36,57,6726
73,69,1,142
79,15,96,9024
31,70,85,8585
18,62,73,5840
2,60,48,2976
20,69,65,5785
89,36,67,8375
1,73,35,2590
4,89,59,5487
23,88,73,8103
0,38,83,3154
22,28,28,1400
50,6,90,5040
98,71,59,9971
45,5,54,2700
60,84,19,2736
2,83,34,2890
43,99,25,3550
55,92,55,8085
26,21,84,3948
51,75,75,9450
9,73,64,5248
91,22,82,9266
1,65,65,4290
1,68,49,3381
46,97,65,9295
60,23,83,6889
26,47,73,5329
81,7,18,1584
78,50,40,5120
26,78,98,10192
89,23,70,7840
43,1,2,88
60,31,20,1820
28,72,70,7000
96,55,11,1661
9,54,6,378
14,73,86,7482
57,84,10,1410
37,40,2,154
76,43,93,11067
74,55,6,774
86,96,96,17472
80,92,92,15824
6,47,77,4081
92,39,24,3144
34,70,74,7696
93,33,53,6678
69,11,75,6000
32,5,63,2331
18,14,51,1632
30,6,63,2268
49,63,1,112
47,26,49,3577
95,23,49,5782
76,9,65,5525
10,34,90,3960
61,7,59,4012
61,24,51,4335
63,97,79,12640
38,8,11,506
41,59,17,1700
52,84,36,4896
63,46,54,5886
26,28,7,378
95,86,5,905
39,63,0,0
38,22,12,720
47,25,31,2232
40,36,98,7448
70,40,20,2200
73,76,1,149
63,45,38,4104
33,89,26,3172
64,70,80,10720
27,53,32,2560
89,25,77,8778
92,3,12,1140
39,36,30,2250
44,3,33,1551
71,22,93,8649
2,52,45,2430
52,99,89,13439
14,41,22,1210
4,58,45,2790
25,78,78,8034
75,41,43,4988
85,68,48,7344
24,37,35,2135
14,83,7,679
52,77,2,258
19,83,4,408
41,16,87,4959
52,14,77,5082
92,33,95,11875
70,51,31,3751
92,27,52,6188
82,49,30,3930
43,61,78,8112
90,79,39,6591
58,6,99,6336
2,30,90,2880
70,70,88,12320
78,72,30,4500
96,69,25,4125
87,12,94,9306
27,95,76,9272
14,36,8,400
80,48,16,2048
19,22,31,1271
74,70,66,9504
79,33,28,3136
24,28,37,1924
84,45,60,7740
93,18,12,1332
44,10,52,2808
73,86,68,10812
34,29,0,0
23,43,93,6138
32,34,34,2244
69,38,82,8774
76,49,40,5000
44,30,32,2368
6,43,68,3332
46,27,90,6570
25,52,2,154
5,20,47,1175
35,53,41,3608
78,82,38,6080
40,25,51,3315
28,26,64,3456
49,95,74,10656
38,38,91,6916
8,11,47,893
79,41,94,11280
74,86,72,11520
64,41,57,5985
26,21,30,1410
95,88,79,14457
10,41,88,4488
57,5,35,2170
85,85,74,12580
82,61,90,12870
63,50,31,3503
40,66,67,7102
87,79,45,7470
38,70,18,1944
20,81,94,9494
17,40,18,1026
21,49,68,4760
61,42,78,8034
21,78,7,693
83,99,66,12012
62,25,5,435
51,38,41,3649
30,62,75,6900
38,53,0,0
64,40,51,5304
44,35,75,5925
46,74,61,7320
73,93,94,15604
97,95,45,8640
6,35,31,1271
58,55,57,6441
57,57,51,5814
15,74,99,8811
28,88,6,696
84,82,74,12284
62,97,62,9858
45,6,72,3672
91,57,37,5476
93,63,97,15132
3,36,36,1404
30,57,63,5481
42,9,57,2907
85,64,71,10579
39,69,81,8748
94,58,21,3192
9,38,41,1927
11,81,55,5060
70,18,75,6600
59,68,42,5334
57,54,81,8991
16,19,73,2555
71,51,38,4636
45,44,75,6675
85,38,42,5166
11,29,34,1360
20,62,99,8118
59,30,38,3382
44,41,10,850
